,1,2,3,4,5,6,bonus
921,5,7,12,22,28,41,1
922,2,6,13,17,27,43,36
923,3,17,18,23,36,41,26
924,3,11,34,42,43,44,13
925,13,24,32,34,39,42,4
926,10,16,18,20,25,31,6
927,4,15,22,38,41,43,26
928,3,4,10,20,28,44,30
929,7,9,12,15,19,23,4
930,8,21,25,38,39,44,28
931,14,15,23,25,35,43,32
932,1,6,15,36,37,38,5
933,23,27,29,31,36,45,37
934,1,3,30,33,36,39,12
935,4,10,20,32,38,44,18
936,7,11,13,17,18,29,43
937,2,10,13,22,29,40,26
938,4,8,10,16,31,36,9
939,4,11,28,39,42,45,6
940,3,15,20,22,24,41,11
941,12,14,25,27,39,40,35
942,10,12,18,35,42,43,39
943,1,8,13,36,44,45,39
944,2,13,16,19,32,33,42
945,9,10,15,30,33,37,26
946,9,18,19,30,34,40,20
947,3,8,17,20,27,35,26
948,13,18,30,31,38,41,5
